Technical;E&ECE;;Technical;E&ECE;;Technical;E&ECE;
Technical;Electrical Engineering: Any;133;Technical;Electrical Engineering: Any;133;Technical;Electrical Engineering: Any;133
Non-Technical;Any;1;Technical;No Specific area of interest: Any;36;Technical;No Specific area of interest: Any;36
Technical;Mechanical Engineering: Machine Design and Dynamics;242;Technical;Mechanical Engineering: Power Plant and I.C. Engine;237;Technical;Mechanical Engineering: Manufacturing Processes and Systems;240
Technical;Computer Science and Engineering: Any;105;Non-Technical;Consulting;7;Technical;Computer Science and Engineering: Software Engineering;116
Technical;Metallurgical Engineering and Material Science: Any;247;Technical;Metallurgical Engineering and Material Science: Any;247;Technical;Metallurgical Engineering and Material Science: Advanced Ceramics;249
Technical;Mechanical Engineering: CAD-CAM Robotics,Artificial Intelligence;239;Technical;Mechanical Engineering: CAD-CAM Robotics,Artificial Intelligence;239;Non-Technical;Any;1
Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
Non-Technical;Finance;14;Non-Technical;Finance;14;Non-Technical;Finance;14
Technical;electrical;;Technical;electrical;;Technical;electrical;
Technical;Mechanical Engineering: Manufacturing Processes and Systems;240;Technical;Mechanical Engineering: Any;234;Technical;Mechanical Engineering: Any;234
Technical;No Specific area of interest: Any;36;Technical;No Specific area of interest: Any;36;Technical;No Specific area of interest: Any;36
Technical;Computer Science and Engineering: Any;105;Technical;Computer Science and Engineering: Any;105;Technical;Computer Science and Engineering: Any;105
Technical;Computer Science and Engineering: Digital Image Processing;117;Technical;Electronics & Electrical Communication Engineering: Any;140;Technical;Computer Science and Engineering: Machine Learning/Data Mining;113
Technical;Metallurgical Engineering and Material Science: Any;247;Technical;Metallurgical Engineering and Material Science: Any;247;Non-Technical;Enterpreneurship;10
Technical;Mechanical Engineering;;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;
Technical;Biotechnology;;Technical;Biotechnology;;Technical;Biotechnology;
Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;235;Technical;Mechanical Engineering: Any;234;Technical;No Specific area of interest: Any;36
Technical;No Specific area of interest: Any;36;Technical;No Specific area of interest: Any;36;Technical;No Specific area of interest: Any;36
Technical;Chemical Engineering: Environmental Engineering;62;Technical;Chemical Engineering: Membrane Processes;61;Technical;Chemical Engineering: Any;48
