1;Technical;E&ECE;;Technical;E&ECE;;Technical;E&ECE;
8;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
10;Technical;electrical;;Technical;electrical;;Technical;electrical;
16;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;
17;Technical;Biotechnology;;Technical;Biotechnology;;Technical;Biotechnology;
28;Technical;electrical;;Technical;electrical;;Technical;electrical;
31;Technical;Agricultural and Food Engineering;;Technical;Agricultural and Food Engineering;;Technical;Agricultural and Food Engineering;
35;Technical;Industrial Engineering Operations Research: Financial Engineering;;Technical;Industrial Engineering Operations Research: Supply Chain Analysis and Inventory ;;Technical;Industrial Engineering Operations Research: Optimization: Models, theory and alg;
42;Non-Technical;Consulting;;Technical;Industrial Engineering Operations Research: Financial Engineering;;Technical;Industrial Engineering Operations Research: Supply Chain Analysis and Inventory ;
44;Technical;Electronics and Electrical Communication Engineering;;Technical;Electronics and Electrical Communication Engineering;;Technical;Electronics and Electrical Communication Engineering;
45;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
46;Technical;Electrical;;Technical;Electrical;;Technical;Electrical;
47;Technical;ARP;;Technical;ARP;;Technical;ARP;
48;Technical;ECE;;Technical;ECE;;Technical;ECE;
49;Technical;Metallurgical Engineering and Material Science: Powder Metallurgy/Powder Processing;;Technical;Metallurgical Engineering and Material Science: Failure and Fracture Mechanics;;Technical;Metallurgical Engineering and Material Science: Deformation Behaviour/Metal Form;
53;Technical;AGFE;;Technical;AGFE;;Technical;AGFE;
54;Technical;Industrial and Systems Engineering;;Technical;Industrial and Systems Engineering;;Technical;Industrial and Systems Engineering;
57;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;
59;Technical;Chemistry;;Technical;Chemistry;;Technical;Chemistry;
61;Technical;Industrial Engineering Operations Research: Optimization: Models, theory and algorithms;;Technical;Industrial Engineering Operations Research: Supply Chain Analysis and Inventory ;;Non-Technical;Finance;
64;Technical;Mathematics;;Technical;Mathematics;;Technical;Mathematics;
65;Technical;mechanical;;Technical;mechanical;;Technical;mechanical;
67;Technical;Mining;;Technical;Mining;;Technical;Mining;
71;Technical;HSS;;Technical;HSS;;Technical;HSS;
73;Technical;CSE;;Technical;CSE;;Technical;CSE;
77;Technical;Industrial & Systems Engineering;;Technical;Industrial & Systems Engineering;;Technical;Industrial & Systems Engineering;
78;Technical;agricultural and food engineering;;Technical;agricultural and food engineering;;Technical;agricultural and food engineering;
79;Technical;Aerospace Engineering;;Technical;Aerospace Engineering;;Technical;Aerospace Engineering;
92;Technical;Mathematics;;Technical;Mathematics;;Technical;Mathematics;
93;Technical;Mechanical engineering;;Technical;Mechanical engineering;;Technical;Mechanical engineering;
96;Technical;OE & NA;;Technical;OE & NA;;Technical;OE & NA;
98;Technical;IM;;Technical;IM;;Technical;IM;
109;Technical;chemical;;Technical;chemical;;Technical;chemical;
115;Technical;mining engineering;;Technical;mining engineering;;Technical;mining engineering;
117;Technical;IEM;;Technical;IEM;;Technical;IEM;
118;Technical;mechanical enineering;;Technical;mechanical enineering;;Technical;mechanical enineering;
122;Technical;Biotechnology;;Technical;Biotechnology;;Technical;Biotechnology;
123;Technical;HSS;;Technical;HSS;;Technical;HSS;
125;Technical;Chemical Engineering: Process Modelling Simulation;;Technical;Chemical Engineering: Any;;Non-Technical;Any;
126;Technical;Mechanical;;Technical;Mechanical;;Technical;Mechanical;
129;Technical;chemical;;Technical;chemical;;Technical;chemical;
132;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
140;Technical;Chemical Engineering;;Technical;Chemical Engineering;;Technical;Chemical Engineering;
147;Technical;Geology and Geophysics;;Technical;Geology and Geophysics;;Technical;Geology and Geophysics;
152;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
164;Non-Technical;Intellectual Property Management;;Non-Technical;Intellectual Property Management;;Non-Technical;Intellectual Property Management;
168;Technical;geology&geophysics;;Technical;geology&geophysics;;Technical;geology&geophysics;
169;Technical;PHYSICS;;Technical;PHYSICS;;Technical;PHYSICS;
173;Technical;Ocean Engineering and Naval architecture;;Technical;Ocean Engineering and Naval architecture;;Technical;Ocean Engineering and Naval architecture;
175;Technical;Chemical;;Technical;Chemical;;Technical;Chemical;
176;Technical;Architecture;;Technical;Architecture;;Technical;Architecture;
178;Technical;HSS;;Technical;HSS;;Technical;HSS;
180;Technical;ELECTRICAL ENGINEERING;;Technical;ELECTRICAL ENGINEERING;;Technical;ELECTRICAL ENGINEERING;
181;Technical;HSS;;Technical;HSS;;Technical;HSS;
182;Technical;HSS;;Technical;HSS;;Technical;HSS;
185;Technical;Mining Engineering;;Technical;Mining Engineering;;Technical;Mining Engineering;
187;Technical;Biotechnology;;Technical;Biotechnology;;Technical;Biotechnology;
192;Technical;EC Dual;;Technical;EC Dual;;Technical;EC Dual;
195;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mechanical Engineering: Fluid Mechanics, CFD;;Technical;Mechanical Engineering: Fluid Mechanics, CFD;
199;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
205;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mechanical Engineering: Fluid Mechanics, CFD;
